content,name,article
"
自転車活用推進本部長は、自転車活用推進本部（以下「本部」という。）の事務を総括する。
",自転車活用推進本部令,第一条
"
この政令に定めるもののほか、本部の運営に関し必要な事項は、自転車活用推進本部長が本部に諮って定める。
",自転車活用推進本部令,第四条
"
この法律は、極めて身近な交通手段である自転車の活用による環境への負荷の低減、災害時における交通の機能の維持、国民の健康の増進等を図ることが重要な課題であることに鑑み、自転車の活用の推進に関し、基本理念を定め、国の責務等を明らかにし、及び自転車の活用の推進に関する施策の基本となる事項を定めるとともに、自転車活用推進本部を設置することにより、自転車の活用を総合的かつ計画的に推進することを目的とする。
",自転車活用推進法,第一条
"
自転車の活用の推進は、自転車による交通が、二酸化炭素、粒子状物質等の環境に深刻な影響を及ぼすおそれのある物質を排出しないものであること、騒音及び振動を発生しないものであること、災害時において機動的であること等の特性を有し、公共の利益の増進に資するものであるという基本的認識の下に行われなければならない。
",自転車活用推進法,第二条
"
自転車の活用の推進は、自転車の利用を増進し、交通における自動車への依存の程度を低減することが、国民の健康の増進及び交通の混雑の緩和による経済的社会的効果を及ぼす等公共の利益の増進に資するものであるという基本的認識の下に行われなければならない。
",自転車活用推進法,第二条２
"
自転車の活用の推進は、交通体系における自転車による交通の役割を拡大することを旨として、行われなければならない。
",自転車活用推進法,第二条３
"
自転車の活用の推進は、交通の安全の確保を図りつつ、行われなければならない。
",自転車活用推進法,第二条４
"
国は、前条に定める基本理念（以下「基本理念」という。）にのっとり、自転車の活用の推進に関する施策を総合的かつ計画的に策定し、及び実施する責務を有する。
",自転車活用推進法,第三条
"
地方公共団体は、基本理念にのっとり、自転車の活用の推進に関し、国との適切な役割分担を踏まえて、その地方公共団体の区域の実情に応じた施策を策定し、及び実施する責務を有する。
",自転車活用推進法,第四条
"
公共交通に関する事業その他の事業を行う者は、自転車と公共交通機関との連携の促進等に努めるとともに、国又は地方公共団体が実施する自転車の活用の推進に関する施策に協力するよう努めるものとする。
",自転車活用推進法,第五条
"
国民は、基本理念についての理解を深め、国又は地方公共団体が実施する自転車の活用の推進に関する施策に協力するよう努めるものとする。
",自転車活用推進法,第六条
"
自転車の活用の推進に関して、重点的に検討され、及び実施されるべき施策は、次に掲げるとおりとする。
一
良好な自転車交通網を形成するため必要な自転車専用道路（道路法（昭和二十七年法律第百八十号）第四十八条の十四第二項に規定する自転車専用道路をいう。）、自転車専用車両通行帯等の整備
二
路外駐車場（駐車場法（昭和三十二年法律第百六号）第二条第二号に規定する路外駐車場をいう。）の整備及び時間制限駐車区間（道路交通法（昭和三十五年法律第百五号）第四十九条第一項に規定する時間制限駐車区間をいう。）の指定の見直し
三
自転車を賃貸する事業の利用者の利便の増進に資する施設の整備
四
自転車競技のための施設の整備
五
高い安全性を備えた良質な自転車の供給体制の整備
六
自転車の安全な利用に寄与する人材の育成及び資質の向上
七
情報通信技術等の活用による自転車の管理の適正化
八
自転車の利用者に対する交通安全に係る教育及び啓発
九
自転車の活用による国民の健康の保持増進
十
学校教育等における自転車の活用による青少年の体力の向上
十一
自転車と公共交通機関との連携の促進
十二
災害時における自転車の有効活用に資する体制の整備
十三
自転車を活用した国際交流の促進
十四
自転車を活用した取組であって、国内外からの観光旅客の来訪の促進、観光地の魅力の増進その他の地域の活性化に資するものに対する支援
十五
前各号に掲げるもののほか、自転車の活用の推進に関し特に必要と認められる施策
",自転車活用推進法,第八条
"
政府は、自転車の活用の推進に関する施策の総合的かつ計画的な推進を図るため、前条に定める自転車の活用の推進に関する基本方針に即し、自転車の活用の推進に関する目標及び自転車の活用の推進に関し講ずべき必要な法制上又は財政上の措置その他の措置を定めた計画（以下「自転車活用推進計画」という。）を定めなければならない。
",自転車活用推進法,第九条
"
国土交通大臣は、自転車活用推進計画の案につき閣議の決定を求めなければならない。
",自転車活用推進法,第九条２
"
政府は、自転車活用推進計画を定めたときは、遅滞なく、これを国会に報告するとともに、公表しなければならない。
",自転車活用推進法,第九条３
"
前二項の規定は、自転車活用推進計画の変更について準用する。
",自転車活用推進法,第九条４
"
都道府県は、自転車活用推進計画を勘案して、当該都道府県の区域の実情に応じた自転車の活用の推進に関する施策を定めた計画（次項及び次条第一項において「都道府県自転車活用推進計画」という。）を定めるよう努めなければならない。
",自転車活用推進法,第十条
"
都道府県は、都道府県自転車活用推進計画を定め、又は変更したときは、遅滞なく、これを公表するよう努めるものとする。
",自転車活用推進法,第十条２
"
市町村（特別区を含む。次項において同じ。）は、自転車活用推進計画（都道府県自転車活用推進計画が定められているときは、自転車活用推進計画及び都道府県自転車活用推進計画）を勘案して、当該市町村の区域の実情に応じた自転車の活用の推進に関する施策を定めた計画（次項において「市町村自転車活用推進計画」という。）を定めるよう努めなければならない。
",自転車活用推進法,第十一条
"
市町村は、市町村自転車活用推進計画を定め、又は変更したときは、遅滞なく、これを公表するよう努めるものとする。
",自転車活用推進法,第十一条２
"
国土交通省に、特別の機関として、自転車活用推進本部（次項及び次条において「本部」という。）を置く。
",自転車活用推進法,第十二条
"
本部は、次に掲げる事務をつかさどる。
一
自転車活用推進計画の案の作成及び実施の推進に関すること。
二
自転車の活用の推進について必要な関係行政機関相互の調整に関すること。
三
前二号に掲げるもののほか、自転車の活用の推進に関する重要事項に関する審議及び自転車の活用の推進に関する施策の実施の推進に関すること。
",自転車活用推進法,第十二条２
"
本部は、自転車活用推進本部長及び自転車活用推進本部員をもって組織する。
",自転車活用推進法,第十三条
"
本部の長は、自転車活用推進本部長とし、国土交通大臣をもって充てる。
",自転車活用推進法,第十三条２
"
自転車活用推進本部員は、次に掲げる者をもって充てる。
一
総務大臣
二
文部科学大臣
三
厚生労働大臣
四
経済産業大臣
五
環境大臣
六
内閣官房長官
七
国家公安委員会委員長
八
前各号に掲げる者のほか、国土交通大臣以外の国務大臣のうちから、国土交通大臣の申出により、内閣総理大臣が指定する者
",自転車活用推進法,第十三条３
"
国民の間に広く自転車の活用の推進についての関心と理解を深めるため、自転車の日及び自転車月間を設ける。
",自転車活用推進法,第十四条
"
自転車の日は五月五日とし、自転車月間は同月一日から同月三十一日までとする。
",自転車活用推進法,第十四条２
"
国は、自転車の日においてその趣旨にふさわしい事業を実施するよう努めるものとし、国及び地方公共団体は、自転車月間においてその趣旨にふさわしい行事が実施されるよう奨励しなければならない。
",自転車活用推進法,第十四条３
"
国土交通大臣は、自転車の活用の推進に関し特に顕著な功績があると認められる者に対し、表彰を行うことができる。
",自転車活用推進法,第十五条
"
法第十一条第一項の政令で定める建築物の部分は、次に掲げるものとする。
一
居間、食事室、寝室その他の居住のために継続的に使用する室（当該室との間に区画となる間仕切壁又は戸（ふすま、障子その他これらに類するものを除く。次条第一項において同じ。）がなく当該室と一体とみなされる台所、洗面所、物置その他これらに類する建築物の部分を含む。）
二
台所、浴室、便所、洗面所、廊下、玄関、階段、物置その他これらに類する建築物の部分であって、居住者の専用に供するもの（前号に規定する台所、洗面所、物置その他これらに類する建築物の部分を除く。）
三
集会室、娯楽室、浴室、便所、洗面所、廊下、玄関、階段、昇降機、倉庫、自動車車庫、自転車駐車場、管理人室、機械室その他これらに類する建築物の部分であって、居住者の共用に供するもの（居住者以外の者が主として利用していると認められるものとして国土交通大臣が定めるものを除く。）
",建築物のエネルギー消費性能の向上に関する法律施行令,第三条
"
法第十八条第一号の政令で定める用途は、次に掲げるものとする。
一
自動車車庫、自転車駐車場、畜舎、堆肥舎、公共用歩廊その他これらに類する用途
二
観覧場、スケート場、水泳場、スポーツの練習場、神社、寺院その他これらに類する用途（壁を有しないことその他の高い開放性を有するものとして国土交通大臣が定めるものに限る。）
",建築物のエネルギー消費性能の向上に関する法律施行令,第七条
"
法第三十条第一項第一号の経済産業省令・国土交通省令で定める基準は、次の各号に掲げる建築物の区分に応じ、それぞれ当該各号に定める基準とする。
一
非住宅建築物
次のイ及びロ（非住宅部分の全部を工場、畜舎、自動車車庫、自転車駐車場、倉庫、観覧場、卸売市場、火葬場その他エネルギーの使用の状況に関してこれらに類するもの（イ（１）において「工場等」という。）の用途に供する場合にあっては、ロ）に適合するものであること。
ただし、国土交通大臣がエネルギー消費性能を適切に評価できる方法と認める方法によって非住宅部分が建築物のエネルギー消費性能の向上の一層の促進のために誘導すべきエネルギー消費性能を有することが確かめられた場合においては、この限りでない。
イ
次の（１）又は（２）のいずれかに適合すること。
（１）
国土交通大臣が定める方法により算出した非住宅部分（工場等の用途に供する部分を除く。以下（１）及び（２）において同じ。）の屋内周囲空間（各階の外気に接する壁の中心線から水平距離が五メートル以内の屋内の空間、屋根の直下階の屋内の空間及び外気に接する床の直上の屋内の空間をいう。以下（１）及び（２）において同じ。）の年間熱負荷（一年間の暖房負荷及び冷房負荷の合計をいう。以下（１）及び（２）において同じ。）を屋内周囲空間の床面積の合計で除した数値が、用途及び第一条第一項第二号イ（１）の地域の区分（以下単に「地域の区分」という。）に応じて別表に掲げる数値以下であること。
ただし、非住宅部分を二以上の用途に供する場合にあっては、当該非住宅部分の各用途の屋内周囲空間の年間熱負荷の合計を各用途の屋内周囲空間の床面積の合計で除して得た数値が、用途及び地域の区分に応じた別表に掲げる数値を各用途の屋内周囲空間の床面積により加重平均した数値以下であること。
（２）
非住宅部分の形状に応じた年間熱負荷モデル建築物（非住宅部分の形状を単純化した建築物であって、屋内周囲空間の年間熱負荷の算出に用いるべきものとして国土交通大臣が認めるものをいう。以下（２）において同じ。）について、国土交通大臣が定める方法により算出した屋内周囲空間の年間熱負荷を屋内周囲空間の床面積の合計で除した数値が、用途及び地域の区分に応じて別表に掲げる数値以下であること。
ただし、非住宅部分を二以上の用途に供する場合にあっては、当該非住宅部分に係る年間熱負荷モデル建築物の各用途の屋内周囲空間の年間熱負荷の合計を各用途の屋内周囲空間の床面積の合計で除して得た数値が、用途及び地域の区分に応じた別表に掲げる数値を各用途の屋内周囲空間の床面積により加重平均した数値以下であること。
ロ
次の（１）又は（２）のいずれかに適合すること。
（１）
第一条第一項第一号イの非住宅部分の設計一次エネルギー消費量が、非住宅部分の誘導基準一次エネルギー消費量（床面積、設備等の条件により定まる、建築物のエネルギー消費性能の向上の一層の促進のために誘導すべき基準となる一次エネルギー消費量をいう。以下同じ。）を超えないこと。
（２）
第一条第一項第一号ロの一次エネルギー消費量モデル建築物の設計一次エネルギー消費量が、当該一次エネルギー消費量モデル建築物の誘導基準一次エネルギー消費量を超えないこと。
二
住宅
次のイ及びロに適合するものであること。
ただし、国土交通大臣がエネルギー消費性能を適切に評価できる方法と認める方法によって住宅部分が建築物のエネルギー消費性能の向上の一層の促進のために誘導すべきエネルギー消費性能を有することが確かめられた場合においては、この限りでない。
イ
住宅部分が第一条第一項第二号イ（１）に適合すること。
ロ
第一条第一項第二号ロ（１）の住宅部分の設計一次エネルギー消費量が、住宅部分の誘導基準一次エネルギー消費量を超えないこと。
三
複合建築物
次のイ又はロのいずれかに適合するものであること。
イ
非住宅部分が第一号に定める基準に適合し、かつ、住宅部分が前号に定める基準に適合すること。
ロ
次の（１）から（３）までに適合すること。
（１）
非住宅部分が第一条第一項第一号に定める基準に適合し、かつ、住宅部分が同項第二号イ（１）及びロに適合すること。
（２）
第一条第一項第三号ロ（１）の複合建築物の設計一次エネルギー消費量が、複合建築物の誘導基準一次エネルギー消費量を超えないこと。
（３）
非住宅部分が第一号イに適合すること。
",建築物エネルギー消費性能基準等を定める省令,第十条
"
法第十七条第一項の政令で定める施設等は、次に掲げるものとする。
一
広告塔又は看板で良好な景観の形成又は風致の維持に寄与するもの
二
標識又はベンチ、街灯その他これらに類する工作物で道路の通行者又は利用者の利便の増進に資するもの
三
食事施設、購買施設その他これらに類する施設で道路の通行者又は利用者の利便の増進に資するもの
四
道路法施行令（昭和二十七年政令第四百七十九号）第十一条の九第一項に規定する自転車駐車器具で自転車を賃貸する事業の用に供するもの
五
次に掲げるもので、競技会、集会、展示会、博覧会その他これらに類する催し（国際的な経済活動に関連する相当数の居住者、来訪者又は滞在者の参加が見込まれるものに限る。）のため設けられ、かつ、道路の通行者又は利用者の利便の増進に資するもの
イ
広告塔、ベンチ、街灯その他これらに類する工作物
ロ
露店、商品置場その他これらに類する施設
ハ
看板、標識、旗ざお、幕及びアーチ
",国家戦略特別区域法施行令,第十九条
"
法第十七条第一項第二号の政令で定める基準は、前条第一号、第二号及び第五号に掲げる施設等については、次のとおりとする。
一
自転車道、自転車歩行者道又は歩道上に設ける場合においては、道路の構造からみて道路の構造又は交通に著しい支障のない場合を除き、当該施設等を設けたときに自転車又は歩行者が通行することができる部分の一方の側の幅員が、国道（道路法（昭和二十七年法律第百八十号）第三条第二号に掲げる一般国道をいう。）にあっては道路構造令（昭和四十五年政令第三百二十号）第十条第三項本文、第十条の二第二項又は第十一条第三項に規定する幅員、都道府県道（同法第三条第三号に掲げる都道府県道をいう。）又は市町村道（同法第三条第四号に掲げる市町村道をいう。）にあってはこれらの規定に規定する幅員を参酌して同法第三十条第三項の条例で定める幅員であること。
二
広告塔、看板、旗ざお、幕又はアーチの表示部分を車両（道路交通法（昭和三十五年法律第百五号）第二条第一項第八号に規定する車両をいう。）の運転者から見えにくくするための措置が講ぜられていること。
",国家戦略特別区域法施行令,第二十条
"
この法律において「自動車」とは、道路交通法（昭和三十五年法律第百五号）第二条第一項第九号に規定する自動車及び同項第十号に規定する原動機付自転車をいう。
",自動車の運転により人を死傷させる行為等の処罰に関する法律,第一条
"
交通に関する施策の推進は、徒歩、自転車、自動車、鉄道車両、船舶、航空機その他の手段による交通が、交通手段（交通施設及び輸送サービスを含む。以下同じ。）の選択に係る競争及び国民等の自由な選好を踏まえつつそれぞれの特性に応じて適切に役割を分担し、かつ、有機的かつ効率的に連携することを旨として行われなければならない。
",交通政策基本法,第五条
"
国は、徒歩、自転車、自動車、鉄道車両、船舶、航空機その他の手段による交通が、それぞれの特性に応じて適切に役割を分担し、かつ、有機的かつ効率的な交通網を形成することが必要であることを踏まえつつ、道路交通、鉄道交通、海上交通及び航空交通の間における連携並びに公共交通機関相互間の連携の強化の促進その他の総合的な交通体系の整備を図るために必要な施策を講ずるものとする。
",交通政策基本法,第二十四条
